City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Zyryanka,RU,65.75,150.85,-28.34,84,100,11.45,overcast clouds
323,Neuquen,AR,-38.9516,-68.0591,78.8,53,40,14.97,scattered clouds
324,Kedgwick,CA,47.6446,-67.3434,21.45,98,96,5.1,overcast clouds
325,Rorvik,NO,64.8621,11.2373,20.82,90,0,10.04,clear sky
326,Avera,US,33.194,-82.5271,44.6,93,1,6.35,clear sky
327,Port Hawkesbury,CA,45.6169,-61.3485,24.01,100,1,3.27,clear sky
328,Bethel,US,41.3712,-73.414,34.0,80,75,4.43,broken clouds
329,Lere,NG,10.387,8.5726,62.29,27,0,4.92,clear sky
330,Billings,US,45.7833,-108.5007,44.6,15,75,47.18,broken clouds
331,Vanimo,PG,-2.6741,141.3028,87.35,61,100,3.6,light rain
332,Muli,MV,2.9167,73.5667,81.88,77,99,15.66,overcast clouds
333,Annau,TM,37.8876,58.516,30.2,100,90,4.61,fog
334,Beyneu,KZ,45.3167,55.2,32.32,91,57,28.92,broken clouds
335,Lafayette,US,30.2335,-92.0668,46.99,57,1,4.61,clear sky
336,Mayskiy,RU,47.6931,40.1025,32.0,100,75,6.71,broken clouds
337,Santa Maria,BR,-29.6842,-53.8069,71.6,68,40,9.22,scattered clouds
338,Matagami,CA,49.7502,-77.6328,28.4,100,90,2.3,light snow
339,Longyearbyen,SJ,78.2186,15.6401,17.6,79,75,11.5,light snow
340,Shimoda,JP,34.6667,138.95,51.8,58,20,5.75,few clouds
341,Talnakh,RU,69.4865,88.3972,-26.86,78,1,9.57,clear sky
342,Ilebo,CD,-4.3167,20.5833,71.42,92,100,1.45,overcast clouds
343,Oranjestad,AW,12.524,-70.027,80.6,74,20,17.27,few clouds
344,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,40,5.75,scattered clouds
345,Dauriya,RU,49.9333,116.8667,-17.01,82,95,2.15,overcast clouds
